Any,Temp_Mitjana_Gener,Temp_Mitjana_Febrer,Temp_Mitjana_Marc,Temp_Mitjana_Abril,Temp_Mitjana_Maig,Temp_Mitjana_Juny,Temp_Mitjana_Juliol,Temp_Mitjana_Agost,Temp_Mitjana_Setembre,Temp_Mitjana_Octubre,Temp_Mitjana_Novembre,Temp_Mitjana_Desembre
2000,7.7,11.4,12.6,13.3,18.3,21,22.8,24.5,21,16,11.3,11
2001,9.9,10.1,14.8,13.8,18.2,21.9,23.7,25,19.6,19.4,10.7,6.8
2002,9.2,11.1,12.3,13.7,15.5,22.3,22.9,21.6,19.9,17.4,13,10.4
2003,7.9,7.1,12.1,14,18,25.6,26.1,28.5,20.8,15.2,12.7,8.8
2004,9.4,8.6,10,12.8,16.2,22.4,23.5,25.1,21.4,18.9,11.4,9.3
2005,7.2,6.5,10.2,14,18.8,23.4,24.4,23,20.7,17.9,11.1,6.6
2006,7.4,8.5,12,15.1,18.7,22.1,27.1,22.8,21.6,18.8,14.6,10
2007,9.9,11.4,12.1,15,17.9,22,23.6,22.5,20.6,16.4,11.2,8.8
2008,10.1,10.2,10.8,13.7,16.6,20.7,23.8,24.3,20.7,16.5,10.3,7.5
2009,7.2,8.7,11.2,13.1,18.8,23,24.4,26.3,21.5,17.9,13.5,9
2010,6.6,8,9.6,14.1,15.4,20.3,25.7,24.3,20.9,16.2,11,8.5
2011,8.4,10,10.9,15.9,18.3,19.5,21.2,24.1,22.9,19.1,14.1,10.2
2012,9.4,6.8,13.4,12.6,17.9,22.3,23.2,26,21.4,17.3,12.7,9.9
2013,9.1,7.7,11.2,13.5,14.6,19.5,25.6,24.9,22.0,19.5,12.2,10.1
2014,9.8,10.1,12.3,15.3,16.2,21.7,22.6,23,22,19.6,13.6,9.1
2015,9.1,8.2,12,14.8,19.1,23.2,26.0,23.50,19.7,16.7,14.3,12.6
2016,10.7,11.3,11.1,13.6,16.4,21.6,24.9,24.5,22.3,17.1,12.7,11.5
2017,7.9,11.4,13.3,14.2,18.3,23.6,24.2,24.5,19.5,18.6,12.5,8.5
2018,10.5,6.7,10.8,14.7,17.1,21.5,25.3,25.8,22.5,17.0,12.4,11.1
2019,8.1,11.9,13.5,13.4,15.6,21.9,25.4,25.1,21.8,18.5,11.9,11.2
2020,10.0,12.8,11.9,14.3,19.4,20.1,25.0,25.5,21.7,16.4,14.7,9.3
2021,7.7,11.6,12.1,12.9,17.3,23.3,24.8,24.5,23.0,18.1,11.3,10.9
2022,10.2,11.8,10.8,14.1,20.7,24.7,26.7,27.2,22.5,20.7,15.2,12.6
2023,9.2,10.3,14.1,16.1,18.1,23.4,25.5,26,23.2,20.2,14.8,12.1
2024,11.1,13.4,13.1,15.0,18.2,21.3,25.8,26.9,20.8,18.2,14.8,10.4
2025,10.8,10.7,11.3,15.2,18.4,26.1,25.8,26.8,21.6,18.7,13.1,10.9
